"Printer","Model","Serial Number","Memory","Print Speed","Color","Duplex","Copy","Scan to Fax","Scan to Email","Scan to Network","Fax Receive","Workflow Profile Capable","eSF Capable"
"157.184.106.147","Lexmark Pro4000 Series","44470117000L8","","","","","","","","","","",""
"157.184.106.153","Lexmark C912","32104Q0","","","","","","","","","","",""
"157.184.106.166","Lexmark X734e","PLT1011","","","","","","","","","","",""
"157.184.106.184","Lexmark X654de","PLT2033","","","","","","","","","","",""
"157.184.106.185","Lexmark Pro5500 Series","4447AA1700012","","","","","","","","","","",""
"157.184.106.182","Lexmark C540","98102B7","","","","","","","","","","",""
"157.184.106.186","Lexmark Pro5500 Series","4447AA170000R","","","","","","","","","","",""
"157.184.106.211","Lexmark X792","756201940018B","","","","","","","","","","",""
"157.184.106.203","Lexmark Pro5500 Series","44470117000G1","","","","","","","","","","",""
"157.184.106.210","Lexmark X548","NZJZXDI","","","","","","","","","","",""
"157.184.106.212","Lexmark X548dte","VKDVT1940003G","","","","","","","","","","",""
"157.184.106.228","Lexmark X792","7562029400HWK","","","","","","","","","","",""
"157.184.108.52","Lexmark C920","3220F9F","","","","","","","","","","",""
"157.184.108.177","Lexmark X646e","792R67N","","","","","","","","","","",""
"157.184.110.69","Lexmark X945e","0420388","","","","","","","","","","",""
"157.184.110.71","Lexmark C925","504101320003Z","","","","","","","","","","",""
"157.184.110.68","Lexmark X792","75620194","","","","","","","","","","",""
"157.184.110.70","Lexmark X854e","0630017","","","","","","","","","","",""
"157.184.110.72","Lexmark X852e","0630043","","","","","","","","","","",""
"157.184.110.74","Lexmark X792","DQOKC7000000000000000000000000000RW","","","","","","","","","","",""
"157.184.111.12","Lexmark X646e","790GNF0","","","","","","","","","","",""
"157.184.111.11","Lexmark X646e","790GNC8","","","","","","","","","","",""
"157.184.111.18","Lexmark T642","79173DM","","","","","","","","","","",""
"157.184.111.17","Lexmark C782 4600 MFP","940X5ZH","","","","","","","","","","",""
"157.184.111.122","Lexmark X738de","9421H5B","","","","","","","","","","",""
"157.184.111.139","Lexmark C524","9410GTC","","","","","","","","","","",""
"157.184.111.151","Lexmark X945e","0213310","","","","","","","","","","",""
"157.184.72.226","Lexmark X463de","171UI500","","","","","","","","","","",""
"157.184.112.217","Lexmark X651de","N0555550","","","","","","","","","","",""
"157.184.112.200","Lexmark W850","NGKD7KY0","","","","","","","","","","",""
"157.184.75.3","Lexmark MX410de","701520720000F","","","","","","","","","","",""
"157.184.75.4","Lexmark X925","NICQM7C","","","","","","","","","","",""
"157.184.74.252","Lexmark L4","4514PTB300381","","","","","","","","","","",""
"157.184.74.207","Lexmark MS810","406312790009C","","","","","","","","","","",""
"157.184.74.202","Lexmark T640","NA767N41","","","","","","","","","","",""
"157.184.75.136","Lexmark H4b","4514PTB300426","","","","","","","","","","",""
"157.184.74.247","Lexmark Pro4000 Series","4447011700062","","","","","","","","","","",""
"157.184.114.42","Lexmark C748","502694PTBH074","","","","","","","","","","",""
"157.184.114.44","Lexmark W850","BMG5OI00","","","","","","","","","","",""
"157.184.114.39","Lexmark MX711","7463127900041","","","","","","","","","","",""
"157.184.114.46","Lexmark MX812","7463127900055","","","","","","","","","","",""
"157.184.114.48","Lexmark X544","752794PTB2158","","","","","","","","","","",""
"157.184.114.50","Lexmark He","4514PTB300540","","","","","","","","","","",""
"157.184.114.58","Lexmark X792","75620294004T1","","","","","","","","","","",""
"157.184.114.56","Lexmark X644e","790HZF5","","","","","","","","","","",""
"157.184.114.62","Lexmark X646e","OATGI500","","","","","","","","","","",""
"157.184.114.67","Lexmark X792e","NFR614500000000000000000000000000RW","","","","","","","","","","",""
"157.184.114.74","Lexmark X463de","N2X4T2I0","","","","","","","","","","",""
"157.184.114.78","Lexmark MS510dn","4514PTB301068","","","","","","","","","","",""
"157.184.114.73","Lexmark MX710","746312790000K","","","","","","","","","","",""
"157.184.114.83","Lexmark X644e","790MLL6","","","","","","","","","","",""
"157.184.75.5","Lexmark X656de","PLT1081","","","","","","","","","","",""
"157.184.75.11","Dell 3335dn Laser MFP","35P000P","","","","","","","","","","",""
"157.184.114.100","Lexmark C950de","147992","","","","","","","","","","",""
"157.184.114.111","Lexmark CX510","752794PTB2222","","","","","","","","","","",""
"157.184.114.143","Lexmark CX410","752794PTB2154","","","","","","","","","","",""
"157.184.114.112","Lexmark X656de","6U68U000","","","","","","","","","","",""
"157.184.114.122","Lexmark X734de","2dvt-132","","","","","","","","","","",""
"157.184.114.119","Lexmark X651de","UTLMIC00","","","","","","","","","","",""
"157.184.114.125","Lexmark X738de","9433KP0","","","","","","","","","","",""
"157.184.114.120","Lexmark T656","DVT0029","","","","","","","","","","",""
"157.184.114.138","Lexmark T656","DVT0029","","","","","","","","","","",""
"157.184.114.134","Lexmark X860de","85J9I500","","","","","","","","","","",""
"157.184.114.129","Lexmark MX812","746312790007K","","","","","","","","","","",""
"157.184.114.150","Lexmark C792","DVT0120","","","","","","","","","","",""
"157.184.114.126","Lexmark He","4514PTB300523","","","","","","","","","","",""
"157.184.114.163","Lexmark C925","3000211","","","","","","","","","","",""
"157.184.114.151","Lexmark X651de","DVT0116","","","","","","","","","","",""
"157.184.114.152","Lexmark C950","NBL0ZLU","","","","","","","","","","",""
"157.184.114.59","Lexmark X466de","35P1CN7","","","","","","","","","","",""
"157.184.114.162","Lexmark CS510","502794PTB2236","","","","","","","","","","",""
"157.184.114.212","Lexmark CS510","502794PTB2226","","","","","","","","","","",""
"157.184.114.146","Lexmark X792","7562019400185","","","","","","","","","","",""
"157.184.116.15","Lexmark X644e","DVT3048","","","","","","","","","","",""
"157.184.116.34","Lexmark X463de","0223172","","","","","","","","","","",""
"157.184.116.37","Lexmark X736de","PLT1025","","","","","","","","","","",""
"157.184.116.38","Lexmark C736","NUJ76Z00","","","","","","","","","","",""
"157.184.116.92","Lexmark X854","0610052","","","","","","","","","","",""
"157.184.116.233","Lexmark MX611dhe","7015207200042","","","","","","","","","","",""
"157.184.116.104","Lexmark X548","75250094600F6","","","","","","","","","","",""
"157.184.116.118","Lexmark X860de","N18QG6U0","","","","","","","","","","",""
"157.184.116.120","Lexmark X364dn","0603164","","","","","","","","","","",""
"157.184.116.98","Lexmark X792","7562019400184","","","","","","","","","","",""
"157.184.116.162","Unknown","        ","","","","","","","","","","",""
"157.184.116.181","Lexmark T634","991BT59","","","","","","","","","","",""
"157.184.116.158","Lexmark MX511de","701520720002W","","","","","","","","","","",""
"157.184.52.199","Lexmark MX611dhe","7015207200044","","","","","","","","","","",""
"157.184.116.196","Lexmark MX511de","701520720002T","","","","","","","","","","",""
"157.184.116.207","Lexmark X656de","793LMY1","","","","","","","","","","",""
"157.184.116.220","Lexmark Optra T616","11BZVC1","","","","","","","","","","",""
"157.184.116.242","Lexmark C540","DVT0123","","","","","","","","","","",""
"157.184.117.209","Lexmark X952","7558100404219","","","","","","","","","","",""
"157.184.118.27","Lexmark X651de","793YGD9","","","","","","","","","","",""
"157.184.120.32","Lexmark X642e","792B5VM","","","","","","","","","","",""
"157.184.120.214","Lexmark X792","75620294003WN","","","","","","","","","","",""
"157.184.120.216","Lexmark X651de","792W6TF","","","","","","","","","","",""
"157.184.120.215","Lexmark T656","793MX4Y","","","","","","","","","","",""
"157.184.120.246","Lexmark X748","752694FSTA001","","","","","","","","","","",""
"157.184.120.249","Lexmark X464de","35P011Y","","","","","","","","","","",""
"157.184.120.248","Lexmark E360dn","72M141H","","","","","","","","","","",""
"157.184.120.254","Lexmark X654de","792WRNL","","","","","","","","","","",""
"157.184.120.253","Lexmark T652","NTIX6AU0","","","","","","","","","","",""
"157.184.114.174","Lexmark L4","","","","","","","","","","","",""
"157.184.114.176","Lexmark X548","75250094607HD","","","","","","","","","","",""
"157.184.114.222","Lexmark Pro5500 Series","EVERDVT4AIO7008","","","","","","","","","","",""
"157.184.114.210","Lexmark X463de","PN19Y500","","","","","","","","","","",""
"157.184.114.217","Lexmark X546","752794PTB2223","","","","","","","","","","",""
"157.184.116.33","Lexmark X792","DVT0259","","","","","","","","","","",""
"157.184.123.7","Lexmark X945e","0213346","","","","","","","","","","",""
"157.184.123.4","Lexmark X945e","0213303","","","","","","","","","","",""
"157.184.123.6","Lexmark X656de","79404LT","","","","","","","","","","",""
"157.184.122.61","Lexmark X658de","793VG87","","","","","","","","","","",""
"157.184.123.45","Lexmark Pro5500 Series","4447B2170000D","","","","","","","","","","",""
"157.184.123.80","Lexmark C912","5300CF1","","","","","","","","","","",""
"157.184.123.69","Lexmark Pro4000 Series","4447011700047","","","","","","","","","","",""
"157.184.116.31","Lexmark X656de","7943XP3","","","","","","","","","","",""
"157.184.116.30","Lexmark X656de","","","","","","","","","","","",""
"157.184.117.197","Lexmark X560n","","","","","","","","","","","",""
"157.184.125.21","Lexmark C780 4600 MFP","DVT0026","","","","","","","","","","",""
"157.184.125.52","Lexmark MS810","4063249900004","","","","","","","","","","",""
"157.184.87.112","Lexmark 6500e","4036106601182","","","","","","","","","","",""
"157.184.127.33","Lexmark X548","7525009460211","","","","","","","","","","",""
"157.184.127.52","Lexmark C736","PLT2119","","","","","","","","","","",""
"157.184.127.58","Ripken","7463127900066","","","","","","","","","","",""
